country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label
US,Owensboro,LEWISPOR,37.9389,-86.8969,O3,AirNow,ppm,0.045,2023-05-30T23:00:00Z,United States,Owensboro
US,Augusta-Richmond County,Augusta,33.4333,-82.0219,O3,AirNow,ppm,0.041,2023-05-30T23:00:00Z,United States,Augusta-Richmond County
US,York-Hanover,York,39.9653,-76.6994,O3,AirNow,ppm,0.058,2023-05-30T23:00:00Z,United States,York-Hanover
US,Youngstown-Warren-Boardman,Farrell,41.215,-80.485,PM2.5,AirNow,µg/m³,11.4,2023-05-29T10:00:00Z,United States,Youngstown-Warren-Boardman
US,Gulfport-Biloxi,WAVELAND,30.300917,-89.395954,O3,AirNow,ppm,0.055,2023-05-30T23:00:00Z,United States,Gulfport-Biloxi
US,SIMPSON,FRANKLN,36.7086,-86.5664,O3,AirNow,ppm,0.052,2023-05-30T23:00:00Z,United States,SIMPSON
US,Minneapolis-St. Paul-Bloomington,Blaine,45.1425,-93.2139,SO2,AirNow,ppm,5e-4,2023-05-30T23:00:00Z,United States,Minneapolis-St. Paul-Bloomington
US,Farmington,Bloomfield,36.7422,-107.9769,NO2,AirNow,ppm,0.001,2023-05-30T23:00:00Z,United States,Farmington
US,Cincinnati-Middletown,Taft NCore PAMS,39.12886,-84.50404,CO,AirNow,ppm,0.1,2023-05-30T23:00:00Z,United States,Cincinnati-Middletown
US,Burlington-South Burlington,Underhill,44.528389,-72.868973,CO,AirNow,ppm,0.1,2023-05-26T13:00:00Z,United States,Burlington-South Burlington
US,IRON,Buick NE,37.652142,-91.11653,SO2,AirNow,ppm,5e-4,2023-05-30T23:00:00Z,United States,IRON
US,Philadelphia-Camden-Wilmington,MLK,39.739444,-75.558056,CO,AirNow,ppm,0.2,2023-02-07T18:00:00Z,United States,Philadelphia-Camden-Wilmington
US,BRADFORD,Towanda,41.705226,-76.512726,PM2.5,AirNow,µg/m³,0.5,2022-10-26T13:00:00Z,United States,BRADFORD
US,Pittsburgh,Charleroi,40.1469,-79.9033,O3,AirNow,ppm,0.057,2023-05-30T23:00:00Z,United States,Pittsburgh
US,Chicago-Naperville-Joliet,CHIWAUKEE,42.5047,-87.8111,PM2.5,AirNow,µg/m³,10.4,2023-05-30T23:00:00Z,United States,Chicago-Naperville-Joliet
US,Baton Rouge,Carville,30.1975,-91.1283,O3,AirNow,ppm,0.059,2023-05-30T23:00:00Z,United States,Baton Rouge
US,Raleigh-Cary,Millbrook NCore,35.856111,-78.574167,SO2,AirNow,ppm,0,2023-05-30T23:00:00Z,United States,Raleigh-Cary
US,Oklahoma City,Moore,35.32,-97.4883,PM2.5,AirNow,µg/m³,13.5,2023-05-30T23:00:00Z,United States,Oklahoma City
US,Mount Vernon-Anacortes,Mt Vernon-S 2nd St,48.410198,-122.337601,PM2.5,AirNow,µg/m³,3.9,2023-05-30T23:00:00Z,United States,Mount Vernon-Anacortes
US,Santa Rosa-Petaluma,Sebastopol,38.403765,-122.818294,CO,AirNow,ppm,0.2,2023-05-30T23:00:00Z,United States,Santa Rosa-Petaluma
US,Columbus,Smoky Row Near Road,40.11109,-83.065376,PM2.5,AirNow,µg/m³,4.9,2023-05-30T23:00:00Z,United States,Columbus
US,Torrington,Cornwall,41.833099,-73.303299,PM2.5,AirNow,µg/m³,28.6,2023-05-30T23:00:00Z,United States,Torrington
US,Eugene-Springfield,Cottage Grove City S,43.7995,-123.0535,PM2.5,AirNow,µg/m³,2.9,2023-05-30T23:00:00Z,United States,Eugene-Springfield
US,San Francisco-Oakland-Fremont,San Pablo - Rumrill,37.9604,-122.3571,SO2,AirNow,ppm,0.0023,2023-05-30T23:00:00Z,United States,San Francisco-Oakland-Fremont
US,Miami-Fort Lauderdale-Miami Beach,Near Road,26.131256,-80.167847,NO2,AirNow,ppm,0.0132,2023-05-30T23:00:00Z,United States,Miami-Fort Lauderdale-Miami Beach
US,Huntington-Ashland,FIVCO,38.4592,-82.6339,PM2.5,AirNow,µg/m³,4.3,2023-05-30T23:00:00Z,United States,Huntington-Ashland
US,Houston-Sugar Land-Baytown,Northwest Harris Co.,30.0394,-95.6739,O3,AirNow,ppm,0.045,2023-05-30T23:00:00Z,United States,Houston-Sugar Land-Baytown
US,Harrisonburg,Rockingham,38.47753,-78.81952,O3,AirNow,ppm,0.05,2023-05-30T23:00:00Z,United States,Harrisonburg
US,San Francisco-Oakland-Fremont,Oakland,37.743061,-122.169907,NO2,AirNow,ppm,0.0017,2023-05-30T23:00:00Z,United States,San Francisco-Oakland-Fremont
US,San Francisco-Oakland-Fremont,Oakland West,37.8148,-122.282402,NO2,AirNow,ppm,0.0014,2023-05-30T23:00:00Z,United States,San Francisco-Oakland-Fremont
US,San Francisco-Oakland-Fremont,Redwood City,37.4828,-122.2022,NO2,AirNow,ppm,0.0028,2023-05-30T23:00:00Z,United States,San Francisco-Oakland-Fremont
US,Akron,East HS,41.063526,-81.468956,O3,AirNow,ppm,0.028,2018-10-13T20:00:00Z,United States,Akron
US,Roanoke,EAST VINTON ELEMENTA,37.28342,-79.88452,NO2,AirNow,ppm,0.0017,2023-05-30T23:00:00Z,United States,Roanoke
US,Wichita,PECK,37.4769,-97.3664,SO2,AirNow,ppm,4e-4,2023-05-30T23:00:00Z,United States,Wichita
US,Salt Lake City,Herriman #3,40.496408,-112.036305,PM2.5,AirNow,µg/m³,4.1,2023-05-30T23:00:00Z,United States,Salt Lake City
US,HAMPDEN,SPRINGFIELDSP,42.120248,-72.58499,CO,AirNow,ppm,0.25,2020-01-06T16:00:00Z,United States,HAMPDEN
