country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label,value_ugm3,cap_ugm3,above_limit,month,extreme_value,year
ZA,Sedibeng,Sebokeng,-26.587334,27.841022,PM2.5,South Africa,µg/m³,3.873,2021-10-13T13:00:00Z,South Africa,Sedibeng,3.873,2000,FALSE,10,TRUE,2021
EC,NA,Carapungo,-0.09548,-78.44988,NO2,Quito REMMAQ,ppm,21.77717725747,2021-04-28T07:00:00Z,Ecuador,Carapungo,40980.283256286086,4000,TRUE,4,FALSE,2021
TT,San Fernando,San Fernando,10.26801,-61.46705,PM2.5,trinidad-tobago,µg/m³,11.2,2023-05-30T23:00:00Z,Trinidad and Tobago,San Fernando,11.2,2000,FALSE,5,TRUE,2023
ES,Córdoba,ES0926A,38.1081399994783,-4.9268,SO2,EEA Spain,µg/m³,28,2023-12-10T14:00:00Z,Spain,Córdoba,28,3000,FALSE,12,TRUE,2023
FI,Porin verkko,NET-FI018A,61.48225999955006,21.81329,PM2.5,EEA Finland,µg/m³,13.3784427,2024-03-11T12:00:00Z,Finland,Porin verkko,13.3784427,2000,FALSE,3,TRUE,2024
AU,Gladstone,Clinton,-24,151,SO2,Australia - Queensland,ppm,0.001,2018-11-30T05:00:00Z,Australia,Gladstone,2.620449897750511,3000,FALSE,11,TRUE,2018
CA,N/A,A�roport de Montr�al,45.468297,-73.741185,NO2,AirNow,ppm,0.0329,2024-03-25T08:00:00Z,Canada,N/A,61.911206543967275,4000,FALSE,3,TRUE,2024
JP,NA,川崎市高津区溝口５－１５－７,35.605,139.6175,NO2,japan-soramame,ppm,0.012,2024-03-10T08:00:00Z,Japan,川崎市高津区溝口５－１５－７,22.58159509202454,4000,FALSE,3,TRUE,2024
PL,Zabrze,"Zabrze, ul. M. Curie-Skłodowskiej",50.3165,18.772375,SO2,GIOS,µg/m³,58.6535,2024-01-10T11:00:00Z,Poland,Zabrze,58.6535,3000,FALSE,1,TRUE,2024
TH,Ratchaburi,Environmental Office 8 ratchaburi,13.52344,99.814082,O3,Air4Thai,ppm,0.064,2022-02-17T22:00:00Z,Thailand,Ratchaburi,125.6441717791411,1200,FALSE,2,TRUE,2022
TR,Aydın,Aydın - Söke,37.75257,27.41141,NO2,Turkiye,µg/m³,367.8,2022-11-23T10:00:00Z,Turkey,Aydın,367.8,4000,FALSE,11,TRUE,2022
TW,新北市,Yonghe,25.017,121.516306,CO,Taiwan,ppm,0.56,2021-05-17T05:00:00Z,"Taiwan, China",新北市,641.5378323108384,60000,FALSE,5,TRUE,2021
US,Washington-Arlington-Alexandria,McMillan Reservoir,38.921848,-77.013176,NO2,AirNow,ppm,0.0573,2023-05-30T23:00:00Z,United States,Washington-Arlington-Alexandria,107.82711656441717,4000,FALSE,5,TRUE,2023
US,Bridgeport-Stamford-Norwalk,Danbury,41.4014,-73.4447,PM2.5,AirNow,µg/m³,77,2023-05-30T23:00:00Z,United States,Bridgeport-Stamford-Norwalk,77,2000,FALSE,5,TRUE,2023
US,FRA,MMFRA1001,39.396458,-121.143816,PM2.5,AirNow,µg/m³,61,2020-09-15T18:00:00Z,United States,FRA,61,2000,FALSE,9,TRUE,2020
ZA,Nelson Mandela Bay Metro,Walmer-NAQI,-33.985586,25.5885,NO2,South Africa,ppm,0.014042,2021-09-22T05:00:00Z,South Africa,Nelson Mandela Bay Metro,26.424229856850715,4000,FALSE,9,TRUE,2021
ZA,Nkangala,eMalahleni - SAWS,-25.877861,29.186472,SO2,South Africa,ppm,0.026709,2023-05-30T23:00:00Z,South Africa,Nkangala,69.9895963190184,3000,FALSE,5,TRUE,2023
AU,NA,Mildura,-34.19561,142.1616,PM2.5,Australia - Victoria,µg/m³,33.21,2023-04-04T21:00:00Z,Australia,Mildura,33.21,2000,FALSE,4,TRUE,2023
BA,NA,Centar,44.199,17.913,CO,Bosnia,µg/m³,1409,2018-10-13T21:00:00Z,Bosnia and Herzegovina,Centar,1409,60000,FALSE,10,TRUE,2018
IL,NA,תחנה:כרמי יוסף,32.854514,35.091182,O3,Israel,ppm,0.0531,2019-04-03T21:00:00Z,Israel,תחנה:כרמי יוסף,104.24539877300614,1200,FALSE,4,TRUE,2019
IN,NA,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.140334499999998,85.3650192,SO2,caaqm,µg/m³,70.4,2022-10-16T15:45:00Z,India,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",70.4,3000,FALSE,10,TRUE,2022
ES,CCAA Cataluña,NET_ES209A,41.47559999999999,1.9232000000000002,O3,EEA Spain,µg/m³,10,2024-03-07T05:00:00Z,Spain,CCAA Cataluña,10,1200,FALSE,3,TRUE,2024
PL,Jasło,"Jaslo, ul. Sikorskiego",49.744886,21.454617,SO2,GIOS,µg/m³,43.7047,2022-12-31T22:00:00Z,Poland,Jasło,43.7047,3000,FALSE,12,TRUE,2022
TR,Karabük,Kardemir 2,41.193515,32.627684,SO2,Turkey,µg/m³,566,2017-12-14T11:00:00Z,Turkey,Karabük,566,3000,FALSE,12,TRUE,2017
US,Clinton,"Clinton, Chancy Park",41.823101,-90.211899,SO2,AirNow,ppm,0.0075,2023-05-30T23:00:00Z,United States,Clinton,19.653374233128833,3000,FALSE,5,TRUE,2023
CN,NA,大武口黄河东街,39.0153,106.37170000000002,CO,ChinaAQIData,µg/m³,5200,2020-12-31T16:00:00Z,China,大武口黄河东街,5200,60000,FALSE,12,TRUE,2020
AU,Sydney North-west,Richmond,-33.6183333,150.7458333,CO,Australia - New South Wales,ppm,0.1,2019-12-23T14:00:00Z,Australia,Sydney North-west,114.560327198364,60000,FALSE,12,TRUE,2019
ZA,City of Tshwane,Booysens,-25.71365,28.132096,CO,South Africa,ppm,2.228,2022-05-25T13:00:00Z,South Africa,City of Tshwane,2552.4040899795505,60000,FALSE,5,TRUE,2022
JP,NA,岡山市南区中畦５８９－４,34.585833,133.855,NO2,japan-soramame,ppm,0.015,2024-03-10T08:00:00Z,Japan,岡山市南区中畦５８９－４,28.226993865030675,4000,FALSE,3,TRUE,2024
JP,NA,玉野市向日比２－２８２３－５番地の一部,34.452222,133.932778,SO2,japan-soramame,ppm,0.011,2024-03-10T08:00:00Z,Japan,玉野市向日比２－２８２３－５番地の一部,28.824948875255625,3000,FALSE,3,TRUE,2024
CL,Catemu,Santa Margarita,-32.776573,-70.938144,SO2,Chile - SINCA,µg/m³,42,2024-03-01T07:00:00Z,Chile,Catemu,42,3000,FALSE,3,TRUE,2024
